Date,Open,High,Low,Close,Volume
1/4/2021,2.2,2.2,2,2.01,"29,873,801"
1/5/2021,1.99,2.03,1.91,1.98,"28,148,311"
1/6/2021,2.03,2.23,1.97,2.01,"67,363,344"
1/7/2021,2.08,2.11,2.02,2.05,"26,150,490"
1/8/2021,2.09,2.21,2.07,2.14,"39,553,340"
1/11/2021,2.16,2.27,2.15,2.2,"41,695,840"
1/12/2021,2.24,2.39,2.24,2.29,"41,784,328"
1/13/2021,2.33,2.38,2.13,2.18,"45,847,660"
1/14/2021,2.22,2.32,2.13,2.18,"49,638,793"
1/15/2021,2.2,2.55,2.18,2.33,"162,356,406"
1/19/2021,2.8,3.2,2.57,3.06,"256,276,000"
1/20/2021,3.29,3.34,2.75,2.97,"181,862,203"
1/21/2021,3,3.06,2.85,2.98,"64,823,840"
1/22/2021,2.91,3.74,2.81,3.51,"268,273,406"
1/25/2021,4.71,4.88,3.85,4.42,"443,238,125"
1/26/2021,5.09,5.19,4.37,4.96,"456,850,219"
1/27/2021,20.34,20.36,11.01,19.9,"1,253,254,000"
1/28/2021,11.98,16.5,6.51,8.63,"591,223,875"
1/29/2021,14.31,16,11.6,13.26,"602,193,250"
2/1/2021,17,17.25,12.91,13.3,"434,608,000"
2/2/2021,9.48,10.1,6,7.82,"462,775,906"
2/3/2021,8.85,9.77,7.89,8.97,"221,405,109"
2/4/2021,8.7,8.74,7,7.09,"162,985,797"
2/5/2021,7.17,8.27,6.52,6.83,"197,097,594"
2/8/2021,6.88,6.89,5.75,6.18,"128,756,000"
2/9/2021,5.81,5.81,5.26,5.5,"102,588,094"
2/10/2021,5.71,6.59,5.45,5.8,"152,810,797"
2/11/2021,5.62,5.85,5.47,5.61,"55,920,391"
2/12/2021,5.72,5.97,5.52,5.59,"46,773,031"
2/16/2021,6.03,6.05,5.49,5.65,"61,165,711"
2/17/2021,5.58,5.62,5.32,5.55,"38,849,047"
2/18/2021,5.84,6.25,5.46,5.51,"130,540,797"
2/19/2021,5.54,5.77,5.51,5.7,"40,249,113"
2/22/2021,5.93,6.68,5.75,6.55,"173,408,984"
2/23/2021,6.97,7.86,6.01,7.7,"264,876,406"
2/24/2021,7.23,9.83,6.99,9.09,"376,881,781"
2/25/2021,10.89,11,7.85,8.29,"445,717,406"
2/26/2021,8.19,9.01,7.63,8.01,"137,028,000"
3/1/2021,8.86,9.45,8.42,9.18,"143,586,500"
3/2/2021,9.14,9.4,8.51,8.93,"78,135,438"
3/3/2021,8.95,9.14,8.5,8.58,"55,651,871"
3/4/2021,8.25,8.59,7.5,8.03,"77,822,641"
3/5/2021,8.08,8.27,7.63,8.05,"59,734,129"
3/8/2021,8.53,9.48,8.31,9.29,"114,343,797"
3/9/2021,9.38,10.77,9.22,10.5,"150,415,594"
3/10/2021,11.02,12.47,9.51,9.85,"261,918,594"
3/11/2021,10.65,10.87,9.9,10.28,"83,933,594"
3/12/2021,10.16,11.4,9.94,11.16,"111,146,703"
3/15/2021,12.18,14.49,11.85,14.04,"278,969,219"
3/16/2021,13.62,13.62,12.34,13.02,"125,967,602"
3/17/2021,13.24,13.66,13,13.56,"78,053,641"
3/18/2021,14.34,14.54,13.57,14,"122,212,305"
3/19/2021,14.14,14.18,13.28,13.93,"153,206,000"
3/22/2021,13.15,13.19,11.76,12.49,"88,760,141"
3/23/2021,11.46,11.93,10.37,10.66,"87,923,242"
3/24/2021,10.82,11.21,8.93,9.02,"81,850,719"
3/25/2021,8.96,11.32,8.95,10.94,"131,192,797"
3/26/2021,11.27,11.53,10.01,10.24,"84,633,070"
3/29/2021,10.32,10.76,10.09,10.35,"37,330,711"
3/30/2021,10.31,10.52,9.76,10.35,"39,020,488"
3/31/2021,10.4,10.47,10.05,10.21,"29,832,330"
4/1/2021,10.23,10.26,9.15,9.36,"77,473,914"
4/5/2021,10.1,11.25,9.72,10.61,"96,082,320"
4/6/2021,10.4,10.5,10,10.2,"44,066,953"
4/7/2021,10.07,10.18,9.85,9.85,"28,804,330"
4/8/2021,10.01,10.01,9.5,9.79,"33,408,680"
4/9/2021,9.6,9.74,9.24,9.42,"29,254,600"
4/12/2021,9.44,9.49,8.51,8.62,"51,269,801"
4/13/2021,8.66,9.12,8.31,8.84,"44,049,129"
4/14/2021,9,9.81,8.9,9.35,"51,166,340"
4/15/2021,9.88,10.23,9.58,9.9,"45,198,898"
4/16/2021,10,10.03,9.09,9.33,"40,696,680"
4/19/2021,9.48,9.81,9.38,9.66,"32,814,328"
4/20/2021,9.7,9.71,9.01,9.28,"27,008,910"
4/21/2021,9.25,9.81,9.14,9.78,"23,598,230"
4/22/2021,9.95,10.65,9.79,9.99,"49,923,512"
4/23/2021,10.09,10.38,9.96,10.16,"27,595,211"
4/26/2021,10.69,11.96,10.57,11.5,"78,592,891"
4/27/2021,11.68,12.22,11.22,11.46,"51,629,820"
4/28/2021,10.85,11.39,10.65,10.85,"39,720,473"
4/29/2021,10.95,11.04,10.09,10.2,"37,782,922"
4/30/2021,10.07,10.18,9.88,10.03,"27,741,039"
5/3/2021,10.11,10.12,9.61,9.71,"31,251,230"
5/4/2021,9.63,9.75,9.05,9.39,"35,222,379"
5/5/2021,9.41,9.57,9.08,9.24,"27,609,035"
5/6/2021,9.33,9.4,8.93,9,"39,586,273"
5/7/2021,9.32,9.79,9.14,9.51,"38,244,969"
5/10/2021,9.9,10.15,9.56,9.74,"41,015,273"
5/11/2021,9.93,10.48,9.6,10.05,"49,600,980"
5/12/2021,10.03,10.63,10.02,10.32,"54,423,480"
5/13/2021,10.88,14.2,10.64,12.77,"296,525,000"
5/14/2021,13.31,14.34,12.57,12.98,"207,589,906"
5/17/2021,13.67,14.38,13.39,13.95,"147,923,016"
5/18/2021,14.25,14.67,13.57,14.03,"172,488,406"
5/19/2021,12.95,13.31,12.14,12.64,"89,024,109"
5/20/2021,12.59,12.99,12.03,12.55,"61,419,727"
5/21/2021,12.61,12.84,12.05,12.08,"53,937,711"
