Date,Open,High,Low,Close,Volume
1/4/2021,6.7,6.82,6.52,6.58,"11,139,230"
1/5/2021,6.62,6.8,6.56,6.77,"9,108,900"
1/6/2021,6.71,6.91,6.63,6.71,"11,022,290"
1/7/2021,6.75,7.12,6.72,7.06,"13,062,760"
1/8/2021,7.22,7.64,7.1,7.56,"23,039,279"
1/11/2021,7.64,7.79,7.32,7.65,"15,749,560"
1/12/2021,7.69,7.71,7.48,7.63,"9,416,014"
1/13/2021,7.65,7.66,7.4,7.44,"8,345,519"
1/14/2021,7.51,9.33,7.47,9.11,"65,231,340"
1/15/2021,10.68,11.56,9.4,9.84,"153,854,703"
1/19/2021,10.85,12.39,10.58,12.35,"112,483,203"
1/20/2021,13.23,13.64,12.38,12.79,"130,140,703"
1/21/2021,12.62,12.95,12.01,12.85,"63,464,953"
1/22/2021,12.37,14.28,12.17,14.04,"120,473,602"
1/25/2021,19.55,20.83,15.74,18.03,"363,829,094"
1/26/2021,19.09,19.51,17.19,18.92,"242,740,797"
1/27/2021,20.25,28.77,19.81,25.1,"372,222,594"
1/28/2021,19.47,22.5,13.4,14.65,"194,906,594"
1/29/2021,17.98,18.12,13.69,14.1,"94,049,148"
2/1/2021,14.64,15.54,12.73,14.63,"78,506,039"
2/2/2021,13.47,13.75,11.08,11.55,"80,520,898"
2/3/2021,11.72,12.47,11.08,12,"50,001,312"
2/4/2021,12.12,12.43,11.53,12.15,"33,668,020"
2/5/2021,11.92,13.67,11.88,13.23,"44,183,090"
2/8/2021,13.78,14.35,13.3,13.76,"37,068,879"
2/9/2021,13.61,13.65,13.01,13.43,"23,252,471"
2/10/2021,13.07,13.49,12.75,13.1,"27,277,930"
2/11/2021,12.84,13.09,12.13,12.46,"22,895,480"
2/12/2021,12.29,13.29,12.12,13.04,"18,222,510"
2/16/2021,13.12,13.16,12.05,12.21,"25,480,240"
2/17/2021,11.8,11.82,11.01,11.32,"26,271,330"
2/18/2021,10.83,11.28,10.75,10.94,"19,052,590"
2/19/2021,10.97,11.19,10.62,10.9,"20,132,689"
2/22/2021,10.61,11.56,10.57,10.68,"21,227,471"
2/23/2021,10.29,10.46,9.63,10.4,"27,150,561"
2/24/2021,10.29,11.72,10.18,11.32,"40,660,660"
2/25/2021,12.14,12.15,10.35,10.58,"46,082,781"
2/26/2021,10.48,10.82,10.01,10.05,"22,542,369"
3/1/2021,10.29,11.25,10.29,10.91,"24,897,320"
3/2/2021,10.9,10.94,10.42,10.5,"12,395,310"
3/3/2021,10.48,10.72,10.05,10.15,"14,866,310"
3/4/2021,10.01,10.37,9.59,9.84,"26,124,109"
3/5/2021,9.8,9.85,8.82,9.45,"23,723,400"
3/8/2021,9.39,10.02,9.19,9.75,"16,479,480"
3/9/2021,10.19,10.68,10.03,10.45,"21,437,820"
3/10/2021,11.01,11.01,10.15,10.34,"23,939,109"
3/11/2021,10.55,10.8,10.33,10.7,"12,306,190"
3/12/2021,10.47,11.93,10.36,11.85,"25,863,150"
3/15/2021,12.09,12.52,11.55,11.68,"25,404,930"
3/16/2021,11.87,12.2,11.27,11.46,"19,812,369"
3/17/2021,11.33,11.66,11.15,11.6,"9,710,506"
3/18/2021,11.39,11.47,10.66,10.76,"11,438,040"
3/19/2021,10.83,11.17,10.69,10.95,"10,519,100"
3/22/2021,11,11.34,10.66,10.71,"7,903,615"
3/23/2021,10.69,10.69,10.02,10.07,"12,245,510"
3/24/2021,10.21,10.22,9.55,9.58,"12,636,060"
3/25/2021,9.31,9.97,9.25,9.88,"14,363,930"
3/26/2021,10.05,10.05,9.29,9.63,"13,197,190"
3/29/2021,9.56,9.67,9.14,9.2,"13,538,020"
3/30/2021,9.08,9.42,8.88,9.34,"17,569,609"
3/31/2021,8.61,8.73,8.36,8.43,"32,865,172"
4/1/2021,8.59,8.89,8.5,8.6,"14,709,860"
4/5/2021,8.75,9.34,8.62,9.3,"18,459,990"
4/6/2021,9.13,9.28,8.94,8.99,"9,807,269"
4/7/2021,9.45,9.51,8.91,8.91,"16,106,100"
4/8/2021,8.99,9.59,8.95,9.44,"11,406,800"
4/9/2021,9.32,9.42,9.1,9.13,"6,685,233"
4/12/2021,9.09,9.28,8.96,9.03,"6,501,810"
4/13/2021,9.07,9.22,8.9,9.1,"6,896,020"
4/14/2021,9.05,9.37,8.99,9,"7,711,641"
4/15/2021,9.1,9.14,8.65,8.77,"8,438,235"
4/16/2021,8.69,8.76,8.5,8.7,"7,577,460"
4/19/2021,8.65,8.79,8.46,8.62,"6,377,676"
4/20/2021,8.59,8.69,8.06,8.21,"12,637,640"
4/21/2021,8.09,8.67,8.04,8.66,"9,263,253"
4/22/2021,8.69,8.97,8.58,8.64,"8,636,275"
4/23/2021,8.66,8.88,8.59,8.85,"5,433,527"
4/26/2021,8.86,9.19,8.84,9.09,"8,168,123"
4/27/2021,9.16,9.62,8.87,9.29,"21,110,740"
4/28/2021,9.23,9.67,9.12,9.3,"12,299,860"
4/29/2021,9.45,9.45,8.88,9.06,"6,869,972"
4/30/2021,8.96,9.13,8.76,8.83,"6,135,811"
5/3/2021,8.89,8.91,8.57,8.61,"5,724,859"
5/4/2021,8.52,8.59,8.14,8.36,"8,622,905"
5/5/2021,8.44,8.46,8.15,8.17,"5,292,338"
5/6/2021,8.15,8.22,7.98,8.15,"7,009,620"
5/7/2021,8.21,8.63,8.2,8.48,"5,591,855"
5/10/2021,8.43,8.44,8.13,8.13,"5,755,125"
5/11/2021,7.88,8.34,7.77,8.3,"8,230,230"
5/12/2021,8.2,8.25,7.89,7.95,"7,447,319"
5/13/2021,7.99,8.18,7.71,7.94,"13,679,030"
5/14/2021,8,8.54,7.99,8.44,"9,579,263"
5/17/2021,8.32,8.58,8.28,8.49,"5,152,087"
5/18/2021,8.55,9.03,8.43,8.77,"7,234,410"
5/19/2021,8.44,8.59,8.34,8.54,"5,238,541"
5/20/2021,8.64,8.81,8.52,8.78,"4,089,294"
5/21/2021,8.84,8.87,8.52,8.52,"5,028,954"
