Date,Open,High,Low,Close,Volume
1/4/2021,19,19.1,17.15,17.25,"10,022,470"
1/5/2021,17.35,18.08,17.23,17.37,"4,961,457"
1/6/2021,17.34,18.98,17.33,18.36,"6,056,248"
1/7/2021,18.47,19.45,18.02,18.08,"6,129,276"
1/8/2021,18.18,18.3,17.08,17.69,"6,481,960"
1/11/2021,19.41,20.65,19.01,19.94,"14,927,610"
1/12/2021,19.96,20.4,19.32,19.95,"7,060,665"
1/13/2021,20.42,38.65,20.03,31.4,"144,501,703"
1/14/2021,38.09,43.06,33.05,39.91,"93,717,406"
1/15/2021,38.49,40.75,34.01,35.5,"46,866,359"
1/19/2021,41.55,45.52,36.64,39.36,"74,721,922"
1/20/2021,37.37,41.19,36.06,39.12,"33,471,789"
1/21/2021,39.23,44.75,37,43.03,"57,079,754"
1/22/2021,42.59,76.76,42.32,65.01,"197,157,906"
1/25/2021,96.73,159.18,61.13,76.79,"177,874,000"
1/26/2021,88.56,150,80.2,147.98,"178,588,000"
1/27/2021,354.83,380,249,347.51,"93,396,672"
1/28/2021,265,483,112.25,193.6,"58,815,809"
1/29/2021,379.71,413.98,250,325,"50,566,059"
2/1/2021,316.56,322,212,225,"37,382,152"
2/2/2021,140.76,158,74.22,90,"78,183,070"
2/3/2021,112.01,113.4,85.25,92.41,"42,698,512"
2/4/2021,91.19,91.5,53.33,53.5,"62,427,281"
2/5/2021,54.04,95,51.09,63.77,"81,345,008"
2/8/2021,72.41,72.66,58.02,60,"25,687,279"
2/9/2021,56.61,57,46.52,50.31,"26,843,080"
2/10/2021,50.77,62.83,46.55,51.2,"36,455,039"
2/11/2021,50.01,55.32,48.22,51.1,"13,056,730"
2/12/2021,50.75,55.24,48.05,52.4,"14,573,260"
2/16/2021,52.66,53.5,49.04,49.51,"8,175,030"
2/17/2021,49.77,51.19,44.56,45.94,"9,260,795"
2/18/2021,48.49,48.87,40.65,40.69,"23,990,561"
2/19/2021,41.28,43.89,38.5,40.59,"14,828,240"
2/22/2021,46.69,48.51,42.4,46,"19,476,020"
2/23/2021,44.97,46.23,40,44.97,"7,565,215"
2/24/2021,44.7,91.71,44.7,91.71,"83,111,742"
2/25/2021,169.56,184.68,101,108.73,"150,308,797"
2/26/2021,117.46,142.9,86,101.74,"92,194,148"
3/1/2021,104.54,133.99,99.97,120.4,"49,793,969"
3/2/2021,116.93,133.2,112.2,118.18,"33,783,039"
3/3/2021,122.51,127.75,113.12,124.18,"19,273,881"
3/4/2021,125,147.87,115.3,132.35,"32,606,891"
3/5/2021,128.17,151.53,127.5,137.74,"30,733,670"
3/8/2021,154.89,210.87,146.1,194.5,"63,565,621"
3/9/2021,217.71,249.85,208.51,246.9,"39,099,328"
3/10/2021,269.43,348.5,172,265,"71,570,570"
3/11/2021,241.64,281.5,232.6,260,"28,312,490"
3/12/2021,275,295.5,262.27,264.5,"25,845,900"
3/15/2021,277.52,283,206,220.14,"24,226,189"
3/16/2021,203.16,220.7,172.35,208.17,"35,422,871"
3/17/2021,217.84,231.47,204,209.81,"16,481,590"
3/18/2021,214,218.88,195.65,201.75,"11,799,910"
3/19/2021,195.73,227,182.66,200.27,"24,677,301"
3/22/2021,205.26,210.36,186.2,194.49,"10,061,510"
3/23/2021,197.5,201.75,177.55,181.75,"14,429,150"
3/24/2021,157.98,166.97,118.62,120.34,"24,177,881"
3/25/2021,123.49,187.5,116.9,183.75,"50,962,340"
3/26/2021,197.68,218.93,163.26,181,"37,430,672"
3/29/2021,180.75,193.92,173.51,181.3,"10,042,180"
3/30/2021,187.5,204.3,182,194.46,"17,094,920"
3/31/2021,197.5,199.46,187.11,189.82,"8,393,834"
4/1/2021,193.36,196.97,183.6,191.45,"9,334,345"
4/5/2021,171,195,164.81,186.95,"14,070,490"
4/6/2021,185.21,192,183.56,184.5,"6,218,318"
4/7/2021,183.22,184.5,176.11,177.97,"4,768,261"
4/8/2021,185.88,185.88,164.3,170.26,"10,047,390"
4/9/2021,169.7,171.58,153,158.36,"9,462,380"
4/12/2021,158.11,163.9,135.01,141.09,"16,683,600"
4/13/2021,141.88,145.38,132,140.99,"6,806,868"
4/14/2021,143.57,174.09,143,166.53,"21,138,141"
4/15/2021,163,166.25,152.8,156.44,"7,856,780"
