Date,Open,High,Low,Close,Volume
1/4/2021,8.19,8.37,7.85,8.17,"3,977,393"
1/5/2021,8.11,8.35,8.06,8.26,"2,679,323"
1/6/2021,8.24,8.6,8.13,8.16,"4,142,674"
1/7/2021,8.24,8.85,8.2,8.59,"5,395,862"
1/8/2021,8.61,8.67,8.16,8.4,"6,920,222"
1/11/2021,8.19,8.28,8.02,8.12,"4,926,303"
1/12/2021,8.1,8.17,7.88,8.05,"4,073,243"
1/13/2021,7.99,8,7.82,7.99,"3,644,070"
1/14/2021,7.94,8.91,7.85,8.33,"8,530,512"
1/15/2021,8.33,8.37,8.02,8.14,"3,071,655"
1/19/2021,8.14,9.35,8.1,8.84,"11,016,570"
1/20/2021,9,9.21,8.47,9.03,"7,941,479"
1/21/2021,9.25,9.6,8.83,9.19,"7,156,642"
1/22/2021,8.96,9.77,8.91,9.46,"9,546,947"
1/25/2021,9.86,10.32,9.03,9.55,"10,821,170"
1/26/2021,9.57,9.79,9.23,9.43,"7,539,967"
1/27/2021,12.72,13.99,10.71,12.08,"47,906,367"
1/28/2021,11.5,11.64,9.45,9.87,"16,196,720"
1/29/2021,10.2,10.55,9.49,9.59,"7,684,576"
2/1/2021,9.9,10.2,9.32,10.02,"6,601,457"
2/2/2021,9.71,9.97,9.28,9.44,"5,636,092"
2/3/2021,9.44,13.8,9.35,10.98,"43,527,434"
2/4/2021,10.37,11.44,10.17,10.74,"12,170,380"
2/5/2021,10.75,11.28,10.47,10.72,"5,618,016"
2/8/2021,10.85,11.57,10.72,11.34,"6,626,920"
2/9/2021,11.25,12.39,11.03,11.89,"8,279,744"
2/10/2021,12.26,12.5,11.05,11.42,"5,766,570"
2/11/2021,11.6,11.82,10.72,11.15,"4,508,711"
2/12/2021,10.91,11.14,10.59,10.78,"3,720,241"
2/16/2021,10.83,10.96,10.28,10.3,"4,191,247"
2/17/2021,10.19,10.26,9.6,9.93,"4,883,846"
2/18/2021,9.6,10.17,9.24,9.41,"6,957,779"
2/19/2021,9.58,9.7,9.26,9.34,"3,231,727"
2/22/2021,9.15,9.54,9.02,9.06,"3,390,908"
2/23/2021,8.92,8.98,8.1,8.8,"7,923,838"
2/24/2021,8.81,9.7,8.66,9.09,"7,481,437"
2/25/2021,9.38,9.44,8.66,8.82,"5,120,795"
2/26/2021,8.84,9.07,8.4,8.62,"3,496,959"
3/1/2021,8.96,9.54,8.66,9.15,"5,903,780"
3/2/2021,9.1,9.81,8.95,9.17,"4,782,374"
3/3/2021,9.19,9.4,8.46,8.51,"4,471,240"
3/4/2021,8.5,8.61,7.57,8.07,"6,439,010"
3/5/2021,8.21,8.21,6.92,7.6,"5,687,531"
3/8/2021,7.66,7.86,7.4,7.62,"3,419,507"
3/9/2021,7.92,9.09,7.81,8.62,"10,526,050"
3/10/2021,8.78,9.75,8.47,9.2,"11,188,820"
3/11/2021,9.3,10.12,9.28,9.53,"10,123,180"
3/12/2021,9.24,10.04,9.08,9.77,"5,943,417"
3/15/2021,9.79,10.54,9.33,9.53,"8,734,758"
3/16/2021,9.57,9.65,8.71,8.75,"10,662,150"
3/17/2021,8.2,8.48,7.82,8.48,"10,438,940"
3/18/2021,8.36,8.59,8,8.04,"4,371,292"
3/19/2021,8.05,8.4,7.91,8.32,"3,851,340"
3/22/2021,8.38,8.44,8.1,8.24,"3,704,043"
3/23/2021,8.28,8.37,7.96,8.09,"2,688,113"
3/24/2021,8.2,8.34,7.64,7.65,"4,239,611"
3/25/2021,7.5,8.3,7.46,8.1,"5,365,732"
3/26/2021,8.2,8.44,8.02,8.31,"3,402,725"
3/29/2021,8.19,8.3,7.91,7.96,"2,057,719"
3/30/2021,7.97,8.09,7.68,8.05,"2,276,592"
3/31/2021,8.09,8.18,7.79,7.87,"2,783,498"
4/1/2021,8,8.5,7.87,8.29,"4,892,491"
4/5/2021,8.36,8.59,8.16,8.34,"2,053,237"
4/6/2021,8.41,8.58,8.27,8.31,"1,422,914"
4/7/2021,8.31,8.41,7.97,8.03,"1,883,732"
4/8/2021,8.08,8.09,7.85,7.94,"2,133,189"
4/9/2021,7.9,8.11,7.82,7.91,"2,589,288"
4/12/2021,7.93,8,7.2,7.25,"6,250,826"
4/13/2021,7.28,7.37,7.04,7.29,"2,714,884"
4/14/2021,7.29,7.78,7.29,7.36,"3,557,081"
4/15/2021,7.48,7.48,7.13,7.26,"1,986,002"
4/16/2021,7.2,7.47,7.1,7.42,"2,153,419"
4/19/2021,7.5,7.52,7.17,7.36,"1,857,579"
4/20/2021,7.29,7.4,7.01,7.11,"2,174,495"
4/21/2021,7,7.41,6.88,7.36,"2,130,765"
4/22/2021,7.44,7.57,7.2,7.21,"2,115,263"
4/23/2021,7.2,7.64,7.09,7.48,"2,262,113"
4/26/2021,7.54,7.95,7.43,7.84,"4,662,369"
4/27/2021,7.89,7.89,7.61,7.74,"1,658,516"
4/28/2021,7.71,7.96,7.56,7.82,"1,637,938"
4/29/2021,7.9,7.94,7.41,7.53,"2,392,510"
4/30/2021,7.5,7.57,7.3,7.46,"1,330,910"
5/3/2021,7.55,7.57,7.31,7.43,"1,131,315"
5/4/2021,7.31,7.32,6.94,7.16,"2,883,462"
5/5/2021,7.15,7.19,6.97,7.04,"1,692,881"
5/6/2021,7,7,6.67,6.87,"2,408,379"
5/7/2021,6.88,7.35,6.88,7.28,"2,377,697"
5/10/2021,7.15,7.29,7.02,7.02,"1,653,380"
5/11/2021,6.83,7.25,6.74,7.19,"2,151,735"
5/12/2021,7.08,7.14,6.78,6.78,"2,487,719"
5/13/2021,6.87,6.89,6.29,6.44,"4,282,123"
5/14/2021,6.5,6.81,6.38,6.75,"2,254,227"
5/17/2021,6.66,6.94,6.5,6.87,"1,943,119"
5/18/2021,6.88,7,6.69,6.87,"1,251,808"
5/19/2021,6.7,6.79,6.46,6.59,"2,138,422"
5/20/2021,6.6,6.72,6.51,6.69,"1,313,195"
5/21/2021,6.76,7.13,6.64,6.71,"2,640,643"
