,Date,Open,High,Low,Close,Volume,volume_change,stock_change,comment_volume,polarity_avg,subjectivity_avg
0,1/4/2021,133.52,133.61,126.76,129.41,143301906,0.8071897906661415,0.03173084589013784,0,0.0,0.0
1,1/5/2021,128.89,131.74,128.43,131.01,97664898,-0.318467557577357,0.012363804960976697,0,0.0,0.0
2,1/6/2021,127.72,131.05,126.38,126.6,155088000,0.5879604973324193,-0.03366155255324019,0,0.0,0.0
3,1/7/2021,128.36,131.63,127.86,130.92,109578203,-0.29344499252037554,0.034123222748815116,0,0.0,0.0
4,1/8/2021,132.43,132.63,130.23,132.05,105158203,-0.040336489182981036,0.008631225175679987,0,0.0,0.0
5,1/11/2021,129.19,130.17,128.5,128.98,100620898,-0.04314741856134609,-0.02324876940552837,0,0.0,0.0
6,1/12/2021,128.5,129.69,126.86,128.8,91951148,-0.08616251864498367,-0.0013955652039074151,0,0.0,0.0
7,1/13/2021,128.76,131.45,128.49,130.89,88636828,-0.03604435694484206,0.016226708074533965,0,0.0,0.0
8,1/14/2021,130.8,131.0,128.76,128.91,90221758,0.017881167859481614,-0.015127206050882344,0,0.0,0.0
9,1/15/2021,128.78,130.22,127.0,127.14,111598492,0.23693546295118745,-0.013730509657900831,0,0.0,0.0
10,1/19/2021,127.78,128.71,126.94,127.83,90757328,-0.18675130484738092,0.005427088249174121,0,0.0,0.0
11,1/20/2021,128.66,132.49,128.55,132.03,104319508,0.14943344299426708,0.03285613705702889,0,0.0,0.0
12,1/21/2021,133.8,139.67,133.59,136.87,120529508,0.1553880027885101,0.03665833522684241,0,0.0,0.0
13,1/22/2021,136.28,139.85,135.02,139.07,114459398,-0.050362024210701996,0.016073646525900407,0,0.0,0.0
14,1/25/2021,143.07,145.09,136.54,142.92,157611703,0.3770097148335517,0.027683900194146793,1,0.208939394,0.439242424
15,1/26/2021,143.6,144.3,141.37,143.16,98390562,-0.37574075955514546,0.0016792611251050175,0,0.0,0.0
16,1/27/2021,143.43,144.3,140.41,142.06,140843812,0.43147685242411765,-0.007683710533668583,2,0.0,0.0
17,1/28/2021,139.52,141.99,136.7,137.09,142621109,0.01261892144753935,-0.03498521751372659,2,-0.1632996635,0.45162037
18,1/29/2021,135.83,136.74,130.21,131.96,177523812,0.24472326182795284,-0.03742067255087895,0,0.0,0.0
19,2/1/2021,133.75,135.38,130.93,134.14,106239797,-0.40154621623379744,0.016520157623522116,0,0.0,0.0
20,2/2/2021,135.73,136.31,134.61,134.99,83305367,-0.21587418884092935,0.006336663187714499,0,0.0,0.0
21,2/3/2021,135.76,135.77,133.61,133.94,89880945,0.0789334257419453,-0.007778353952144687,0,0.0,0.0
22,2/4/2021,136.3,137.4,134.59,137.39,84183055,-0.06339374825220184,0.02575780200089584,0,0.0,0.0
23,2/5/2021,137.35,137.42,135.86,136.76,75693828,-0.10084246764387442,-0.004585486571075009,0,0.0,0.0
24,2/8/2021,136.03,136.96,134.92,136.91,71297211,-0.058084220552301835,0.001096811933313876,0,0.0,0.0
