,index,Date,Open,High,Low,Close,Volume,volume_change,stock_change,comment_volume,polarity_avg,subjectivity_avg
0,0,1/4/2021,2.2,2.2,2,2.01,29873801,-0.446142588,-0.833609272,0,0,0
1,1,1/5/2021,1.99,2.03,1.91,1.98,28148311,-0.057759306,-0.014925373,0,0,0
2,2,1/6/2021,2.03,2.23,1.97,2.01,67363344,1.393157586,0.015151515,0,0,0
3,3,1/7/2021,2.08,2.11,2.02,2.05,26150490,-0.611799408,0.019900498,0,0,0
4,4,1/8/2021,2.09,2.21,2.07,2.14,39553340,0.512527681,0.043902439,0,0,0
5,5,1/11/2021,2.16,2.27,2.15,2.2,41695840,0.05416736,0.028037383,0,0,0
6,6,1/12/2021,2.24,2.39,2.24,2.29,41784328,0.002122226,0.040909091,0,0,0
7,7,1/13/2021,2.33,2.38,2.13,2.18,45847660,0.09724536,-0.048034934,0,0,0
8,8,1/14/2021,2.22,2.32,2.13,2.18,49638793,0.082689782,0,0,0,0
9,9,1/15/2021,2.2,2.55,2.18,2.33,162356406,2.270756523,0.068807339,0,0,0
10,10,1/19/2021,2.8,3.2,2.57,3.06,256276000,0.578477907,0.313304721,0,0,0
11,11,1/20/2021,3.29,3.34,2.75,2.97,181862203,-0.290365844,-0.029411765,0,0,0
12,12,1/21/2021,3,3.06,2.85,2.98,64823840,-0.643555181,0.003367003,0,0,0
13,13,1/22/2021,2.91,3.74,2.81,3.51,268273406,3.138499139,0.177852349,0,0,0
14,14,1/25/2021,4.71,4.88,3.85,4.42,443238125,0.652188085,0.259259259,21,0.2004329,0.546401515
15,15,1/26/2021,5.09,5.19,4.37,4.96,456850219,0.030710567,0.122171946,43,0.228510901,0.430491154
16,16,1/27/2021,20.34,20.36,11.01,19.9,1253254000,1.743249205,3.012096774,358,0.068538773,0.571612417
17,17,1/28/2021,11.98,16.5,6.51,8.63,591223875,-0.528248962,-0.566331658,970,0.029564401,0.516634117
18,18,1/29/2021,14.31,16,11.6,13.26,602193250,0.018553674,0.536500579,657,0.107992435,0.503072094
19,19,2/1/2021,17,17.25,12.91,13.3,434608000,-0.278291479,0.003016591,557,0.104366045,0.549910024
20,20,2/2/2021,9.48,10.1,6,7.82,462775906,0.064812212,-0.412030075,707,0.073207753,0.513006922
21,21,2/3/2021,8.85,9.77,7.89,8.97,221405109,-0.521571659,0.147058824,182,0.148398392,0.526144543
22,22,2/4/2021,8.7,8.74,7,7.09,162985797,-0.263857109,-0.209587514,174,0.11380351,0.504162332
