,Date,Open,High,Low,Close,Volume,volume_change,stock_change,comment_volume,polarity_avg,subjectivity_avg
0,1/4/2021,19.0,19.1,17.15,17.25,10022470,1.7423637015850622,-0.90242660783981,0,0.0,0.0
1,1/5/2021,17.35,18.08,17.23,17.37,4961457,-0.5049666399600099,0.006956521739130492,0,0.0,0.0
2,1/6/2021,17.34,18.98,17.33,18.36,6056248,0.22065917330332602,0.056994818652849645,0,0.0,0.0
3,1/7/2021,18.47,19.45,18.02,18.08,6129276,0.012058290875802973,-0.01525054466230943,0,0.0,0.0
4,1/8/2021,18.18,18.3,17.08,17.69,6481960,0.057540890637001824,-0.021570796460176827,0,0.0,0.0
5,1/11/2021,19.41,20.65,19.01,19.94,14927610,1.302946948145314,0.12719050310910118,0,0.0,0.0
6,1/12/2021,19.96,20.4,19.32,19.95,7060665,-0.5270063325609391,0.000501504513540522,0,0.0,0.0
7,1/13/2021,20.42,38.65,20.03,31.4,144501703,19.46573559289387,0.5739348370927319,0,0.0,0.0
8,1/14/2021,38.09,43.06,33.05,39.91,93717406,-0.351444280210317,0.2710191082802547,0,0.0,0.0
9,1/15/2021,38.49,40.75,34.01,35.5,46866359,-0.49991830759805705,-0.11049862189927329,0,0.0,0.0
10,1/19/2021,41.55,45.52,36.64,39.36,74721922,0.5943615760720818,0.10873239436619717,0,0.0,0.0
11,1/20/2021,37.37,41.19,36.06,39.12,33471789,-0.5520486076361901,-0.006097560975609807,0,0.0,0.0
12,1/21/2021,39.23,44.75,37.0,43.03,57079754,0.7053093278043788,0.09994887525562382,0,0.0,0.0
13,1/22/2021,42.59,76.76,42.32,65.01,197157906,2.454077710285857,0.5108064141296771,64,-0.005303248122448982,0.53622193858
14,1/25/2021,96.73,159.18,61.13,76.79,177874000,-0.09780944822978592,0.18120289186279034,98,0.005277433985915502,0.4795178967236842
15,1/26/2021,88.56,150.0,80.2,147.98,178588000,0.004014077380617741,0.9270738377392886,182,0.03237039455319149,0.542047030671141
16,1/27/2021,354.83,380.0,249.0,347.51,93396672,-0.4770271686787466,1.348357886200838,480,0.028614247894081,0.5538720672706552
17,1/28/2021,265.0,483.0,112.25,193.6,58815809,-0.37025797878536826,-0.4428937296768438,750,0.014164548183752415,0.5228124060397112
18,1/29/2021,379.71,413.98,250.0,325.0,50566059,-0.1402641592501091,0.6787190082644629,154,0.03833428902857143,0.5335513821052631
19,2/1/2021,316.56,322.0,212.0,225.0,37382152,-0.26072640938855846,-0.3076923076923077,181,0.02669472369852941,0.5300040075099338
20,2/2/2021,140.76,158.0,74.22,90.0,78183070,1.0914544994627382,-0.6,327,0.012699854696969697,0.523476738589431
21,2/3/2021,112.01,113.4,85.25,92.41,42698512,-0.4538649863710903,0.02677777777777774,47,0.020743901999999998,0.44553241783783787
22,2/4/2021,91.19,91.5,53.33,53.5,62427281,0.4620481622404078,-0.42105832702088514,60,0.06270165535897435,0.5159556257857143
23,2/5/2021,54.04,95.0,51.09,63.77,81345008,0.30303621584928553,0.19196261682242996,61,-0.09081239429032259,0.5110934538648647
24,2/8/2021,72.41,72.66,58.02,60.0,25687279,-0.6842181268210091,-0.05911870785635884,15,0.215345644,0.55468885275
25,2/9/2021,56.61,57.0,46.52,50.31,26843080,0.04499507324228463,-0.16149999999999995,8,0.22870370375000001,0.46018518500000005
26,2/10/2021,50.77,62.83,46.55,51.2,36455039,0.35807958699225273,0.01769032001590142,14,0.3108164981666667,0.7520061727777778
27,2/11/2021,50.01,55.32,48.22,51.1,13056730,-0.6418401856599303,-0.0019531250000000278,2,0.0,0.066666667
28,2/12/2021,50.75,55.24,48.05,52.4,14573260,0.1161492961867175,0.02544031311154593,0,0.0,0.0
29,2/16/2021,52.66,53.5,49.04,49.51,8175030,-0.4390390345056631,-0.055152671755725205,0,0.0,0.0
30,2/17/2021,49.77,51.19,44.56,45.94,9260795,0.13281480312610475,-0.07210664512219754,0,0.0,0.0
31,2/18/2021,48.49,48.87,40.65,40.69,23990561,1.5905509192245375,-0.11427949499346975,0,0.0,0.0
32,2/19/2021,41.28,43.89,38.5,40.59,14828240,-0.3819135784277825,-0.0024576062914719666,0,0.0,0.0
33,2/22/2021,46.69,48.51,42.4,46.0,19476020,0.3134411096664203,0.1332840601133283,0,0.0,0.0
34,2/23/2021,44.97,46.23,40.0,44.97,7565215,-0.6115625779805114,-0.022391304347826112,0,0.0,0.0
35,2/24/2021,44.7,91.71,44.7,91.71,83111742,9.98603833466729,1.039359573048699,62,0.08366813511363634,0.5138306984680852
36,2/25/2021,169.56,184.68,101.0,108.73,150308797,0.8085145778799824,0.18558499618362242,67,0.03421311266666667,0.5513864866000001
37,2/26/2021,117.46,142.9,86.0,101.74,92194148,-0.3866350483797698,-0.06428768509151116,11,0.10611111116666666,0.5288095238571429
38,3/1/2021,104.54,133.99,99.97,120.4,49793969,-0.45990097983225575,0.18340868881462563,0,0.0,0.0
39,3/2/2021,116.93,133.2,112.2,118.18,33783039,-0.32154355881934216,-0.018438538205980057,0,0.0,0.0
40,3/3/2021,122.51,127.75,113.12,124.18,19273881,-0.4294805449563019,0.050770011846336095,1,0.15,0.275
41,3/4/2021,125.0,147.87,115.3,132.35,32606891,0.6917657113271583,0.06579159284908993,1,0.7,0.85
42,3/5/2021,128.17,151.53,127.5,137.74,30733670,-0.05744862336001307,0.04072534945221016,1,0.35416666700000005,0.4166666670000001
43,3/8/2021,154.89,210.87,146.1,194.5,63565621,1.0682730373560985,0.4120807318135617,0,0.0,0.0
44,3/9/2021,217.71,249.85,208.51,246.9,39099328,-0.38489819835159006,0.2694087403598972,0,0.0,0.0
45,3/10/2021,269.43,348.5,172.0,265.0,71570570,0.8304808205399336,0.0733090319967598,92,0.13898429922222222,0.5197860142028985
46,3/11/2021,241.64,281.5,232.6,260.0,28312490,-0.6044115619031677,-0.018867924528301886,2,0.2604166665,0.55
47,3/12/2021,275.0,295.5,262.27,264.5,25845900,-0.08712020737137567,0.01730769230769231,0,0.0,0.0
48,3/15/2021,277.52,283.0,206.0,220.14,24226189,-0.06266800537029084,-0.16771266540642726,0,0.0,0.0
49,3/16/2021,203.16,220.7,172.35,208.17,35422871,0.46217265125769474,-0.054374488961569906,1,0.3,0.944444444
50,3/17/2021,217.84,231.47,204.0,209.81,16481590,-0.5347189673022269,0.00787817649036852,0,0.0,0.0
51,3/18/2021,214.0,218.88,195.65,201.75,11799910,-0.2840551184685458,-0.03841570945140843,4,0.11347222225,0.5544444445
52,3/19/2021,195.73,227.0,182.66,200.27,24677301,1.091312645604924,-0.007335811648079255,1,-0.05,0.23625
53,3/22/2021,205.26,210.36,186.2,194.49,10061510,-0.5922767242657534,-0.028861037599241027,0,0.0,0.0
54,3/23/2021,197.5,201.75,177.55,181.75,14429150,0.4340938884918864,-0.06550465319553708,0,0.0,0.0
55,3/24/2021,157.98,166.97,118.62,120.34,24177881,0.6756275317672905,-0.33788170563961484,0,0.0,0.0
56,3/25/2021,123.49,187.5,116.9,183.75,50962340,1.1078083724541452,0.52692371613761,0,0.0,0.0
57,3/26/2021,197.68,218.93,163.26,181.0,37430672,-0.2655228939644451,-0.014965986394557823,0,0.0,0.0
58,3/29/2021,180.75,193.92,173.51,181.3,10042180,-0.7317125377818491,0.0016574585635359745,0,0.0,0.0
59,3/30/2021,187.5,204.3,182.0,194.46,17094920,0.7023116494625669,0.07258687258687256,1,-0.173784722,0.488888889
60,3/31/2021,197.5,199.46,187.11,189.82,8393834,-0.5089866463253411,-0.02386094826699586,1,0.0,0.0
61,4/1/2021,193.36,196.97,183.6,191.45,9334345,0.11204784369097602,0.008587082499209754,0,0.0,0.0
62,4/5/2021,171.0,195.0,164.81,186.95,14070490,0.5073891097875641,-0.023504831548707236,0,0.0,0.0
63,4/6/2021,185.21,192.0,183.56,184.5,6218318,-0.5580595984930162,-0.013105108317731954,2,-0.102577511,0.522192761
64,4/7/2021,183.22,184.5,176.11,177.97,4768261,-0.23319119414606973,-0.035392953929539304,0,0.0,0.0
65,4/8/2021,185.88,185.88,164.3,170.26,10047390,1.1071392694317699,-0.043321908186773096,0,0.0,0.0
66,4/9/2021,169.7,171.58,153.0,158.36,9462380,-0.05822507138669843,-0.06989310466345576,0,0.0,0.0
67,4/12/2021,158.11,163.9,135.01,141.09,16683600,0.763150497020834,-0.10905531699924229,0,0.0,0.0
68,4/13/2021,141.88,145.38,132.0,140.99,6806868,-0.5920024455153564,-0.0007087674533984996,0,0.0,0.0
69,4/14/2021,143.57,174.09,143.0,166.53,21138141,2.105413679242788,0.18114759912050493,94,0.07507314384848485,0.5197475579452054
70,4/15/2021,163.0,166.25,152.8,156.44,7856780,-0.6283126316547893,-0.06058968354050323,16,0.07288118130769232,0.6098837868571428
71,4/16/2021,156.0,160.2,151.25,154.69,5214710,-0.336278984520376,-0.011186397340833546,25,0.1939694054090909,0.4860121798333334
72,4/19/2021,171.8,175.2,162.33,164.37,10520210,1.0174103641429724,0.06257676643609805,5,0.13798611119999998,0.4337222222
73,4/20/2021,164.14,164.89,153.36,158.53,4658608,-0.5571753795789247,-0.03552959785849001,15,0.019175329571428566,0.6240219542666667
74,4/21/2021,158.4,162.98,155.92,158.51,3812845,-0.18154843678626748,-0.0001261590866082775,1,0.25,0.333333333
75,4/22/2021,159.1,159.1,146.86,151.17,4345809,0.13978118701389644,-0.046306226736483526,0,0.0,0.0
76,4/23/2021,149.0,153.66,144.7,151.18,4042057,-0.06989538656668988,6.615069127485167e-05,0,0.0,0.0
77,4/26/2021,150.98,174.68,148.76,168.93,10532110,1.6056312417167793,0.11740971027913745,46,0.14031184691428572,0.482335122868421
78,4/27/2021,183.55,188.0,173.17,177.77,8932718,-0.15185864940643423,0.052329367193512125,54,0.05623486848837209,0.5227508482444444
79,4/28/2021,172.1,181.98,166.03,178.58,5788938,-0.35193991347314446,0.004556449344658841,3,-0.0009183673333333318,0.47844671200000005
80,4/29/2021,176.56,180.86,170.75,176.19,3760250,-0.35044217091286867,-0.013383357598835337,0,0.0,0.0
81,4/30/2021,175.0,183.8,172.7,173.59,4433565,0.17906123263080911,-0.014756796639990888,0,0.0,0.0
82,5/3/2021,177.49,177.49,159.61,162.2,5261019,0.18663400671919775,-0.06561437870845103,0,0.0,0.0
83,5/4/2021,159.0,161.49,151.8,160.73,4007512,-0.23826315776468399,-0.009062885326757083,58,0.14475312313953487,0.499339654875
84,5/5/2021,161.83,165.5,158.33,159.48,2712184,-0.32322498348102263,-0.007777017358302744,99,0.14162938085333332,0.5557511421282051
85,5/6/2021,160.86,164.72,155.6,161.01,2942802,0.08503036667128779,0.009593679458239286,82,0.08275515872857143,0.5064710769864864
86,5/7/2021,160.11,167.41,157.5,161.11,2934624,-0.0027789841110614985,0.0006210794360600133,87,0.10472721533333333,0.49327474618421047
87,5/10/2021,161.31,161.59,143.0,143.22,4806685,0.6379219279880489,-0.11104214511824227,49,0.05484140604761906,0.5267619150666667
88,5/11/2021,137.0,150.5,136.5,146.92,4684584,-0.02540233029624367,0.02583438067309027,170,0.10406193936153847,0.515112511787234
89,5/12/2021,145.7,150.5,142.23,144.79,2731510,-0.4169151412377278,-0.014497685815409717,100,0.10442030717567569,0.4805466603048781
90,5/13/2021,147.44,169.95,146.43,164.5,8873487,2.248564713290451,0.1361281856481802,118,0.16226583640963857,0.5490746331235955
91,5/14/2021,160.0,166.47,156.22,159.92,4293530,-0.5161394838353851,-0.027841945288753875,271,0.10282902484507041,0.5214293264557522
92,5/17/2021,159.85,182.5,159.0,180.6,7372763,0.7171798030990817,0.12931465732866437,50,0.155250645375,0.4489823189285714
93,5/18/2021,174.54,189.2,168.27,180.67,7738717,0.04963593702930638,0.00038759689922476847,106,0.09863650052631581,0.5487562301000001
94,5/19/2021,171.99,178.98,164.15,168.83,4825905,-0.37639469178159635,-0.06553384623899915,98,0.12145914318987337,0.5304263527073171
95,5/20/2021,170.79,174.91,166.9,170.49,2478168,-0.48648636887796176,0.009832375762601412,89,0.14743232311594204,0.5537779954473683
96,5/21/2021,171.0,179.24,170.33,176.79,3654683,0.47475191351030277,0.03695231391870481,101,0.09459929351351351,0.5407263093797468
