,Date,Open,High,Low,Close,Volume,volume_change,stock_change,comment_volume,polarity_avg,subjectivity_avg
0,1/4/2021,8.19,8.37,7.85,8.17,3977393,0.5062214013783765,0.21758569299552905,0,0.0,0.0
1,1/5/2021,8.11,8.35,8.06,8.26,2679323,-0.32636201652690594,0.011015911872705002,0,0.0,0.0
2,1/6/2021,8.24,8.6,8.13,8.16,4142674,0.546164460201327,-0.012106537530266302,0,0.0,0.0
3,1/7/2021,8.24,8.85,8.2,8.59,5395862,0.30250702806930985,0.052696078431372514,0,0.0,0.0
4,1/8/2021,8.61,8.67,8.16,8.4,6920222,0.2825053717089132,-0.02211874272409773,0,0.0,0.0
5,1/11/2021,8.19,8.28,8.02,8.12,4926303,-0.28812934035931215,-0.033333333333333465,0,0.0,0.0
6,1/12/2021,8.1,8.17,7.88,8.05,4073243,-0.17316433845015217,-0.008620689655172232,0,0.0,0.0
7,1/13/2021,7.99,8.0,7.82,7.99,3644070,-0.10536395692572233,-0.007453416149068384,0,0.0,0.0
8,1/14/2021,7.94,8.91,7.85,8.33,8530512,1.3409297845540837,0.04255319148936168,0,0.0,0.0
9,1/15/2021,8.33,8.37,8.02,8.14,3071655,-0.6399213786933304,-0.022809123649459723,0,0.0,0.0
10,1/19/2021,8.14,9.35,8.1,8.84,11016570,2.5865258305376093,0.0859950859950859,0,0.0,0.0
11,1/20/2021,9.0,9.21,8.47,9.03,7941479,-0.27913325109357995,0.021493212669683202,0,0.0,0.0
12,1/21/2021,9.25,9.6,8.83,9.19,7156642,-0.09882756096188128,0.017718715393134014,0,0.0,0.0
13,1/22/2021,8.96,9.77,8.91,9.46,9546947,0.3339981237010319,0.029379760609358145,0,0.0,0.0
14,1/25/2021,9.86,10.32,9.03,9.55,10821170,0.13346916035042405,0.009513742071881591,0,0.0,0.0
15,1/26/2021,9.57,9.79,9.23,9.43,7539967,-0.3032207238219157,-0.012565445026178113,0,0.0,0.0
16,1/27/2021,12.72,13.99,10.71,12.08,47906367,5.353657383381121,0.2810180275715801,1,-0.283333333,0.466666667
17,1/28/2021,11.5,11.64,9.45,9.87,16196720,-0.6619088231006955,-0.18294701986754974,1,0.0,1.0
18,1/29/2021,10.2,10.55,9.49,9.59,7684576,-0.5255473947811655,-0.02836879432624107,5,0.3017857145,0.397202381
19,2/1/2021,9.9,10.2,9.32,10.02,6601457,-0.14094713878813872,0.04483837330552656,3,0.5,0.5
20,2/2/2021,9.71,9.97,9.28,9.44,5636092,-0.14623514172704602,-0.05788423153692616,2,0.8,0.9
21,2/3/2021,9.44,13.8,9.35,10.98,43527434,6.722981455945006,0.16313559322033908,1,0.0,0.0
22,2/4/2021,10.37,11.44,10.17,10.74,12170380,-0.7203974854111547,-0.021857923497267777,11,0.17388321299999998,0.52147435875
23,2/5/2021,10.75,11.28,10.47,10.72,5618016,-0.538386147351192,-0.0018621973929236102,1,-0.15,0.7
24,2/8/2021,10.85,11.57,10.72,11.34,6626920,0.17958368221094423,0.05783582089552231,0,0.0,0.0
25,2/9/2021,11.25,12.39,11.03,11.89,8279744,0.24941058591321458,0.048500881834215234,2,0.7,0.6
26,2/10/2021,12.26,12.5,11.05,11.42,5766570,-0.3035328145411259,-0.03952901597981502,0,0.0,0.0
27,2/11/2021,11.6,11.82,10.72,11.15,4508711,-0.2181294946562688,-0.02364273204903674,1,0.20555555600000006,0.62037037
28,2/12/2021,10.91,11.14,10.59,10.78,3720241,-0.1748770324822327,-0.03318385650224224,1,0.2375,0.3666666670000001
29,2/16/2021,10.83,10.96,10.28,10.3,4191247,0.12660631394579008,-0.04452690166975869,0,0.0,0.0
30,2/17/2021,10.19,10.26,9.6,9.93,4883846,0.16524891040780942,-0.03592233009708747,0,0.0,0.0
31,2/18/2021,9.6,10.17,9.24,9.41,6957779,0.42465159630340515,-0.05236656596173209,0,0.0,0.0
32,2/19/2021,9.58,9.7,9.26,9.34,3231727,-0.5355231892246074,-0.007438894792773675,0,0.0,0.0
33,2/22/2021,9.15,9.54,9.02,9.06,3390908,0.04925570755203023,-0.029978586723768668,0,0.0,0.0
34,2/23/2021,8.92,8.98,8.1,8.8,7923838,1.3367894381092027,-0.028697571743929336,0,0.0,0.0
35,2/24/2021,8.81,9.7,8.66,9.09,7481437,-0.05583165632613892,0.032954545454545354,5,0.1553571428,0.4392857146000001
36,2/25/2021,9.38,9.44,8.66,8.82,5120795,-0.3155332324525355,-0.029702970297029656,0,0.0,0.0
37,2/26/2021,8.84,9.07,8.4,8.62,3496959,-0.3171062305755259,-0.02267573696145137,0,0.0,0.0
38,3/1/2021,8.96,9.54,8.66,9.15,5903780,0.6882611434677959,0.061484918793503616,0,0.0,0.0
39,3/2/2021,9.1,9.81,8.95,9.17,4782374,-0.18994711862569405,0.002185792349726729,0,0.0,0.0
40,3/3/2021,9.19,9.4,8.46,8.51,4471240,-0.06505848350630879,-0.07197382769901856,1,0.15,0.275
41,3/4/2021,8.5,8.61,7.57,8.07,6439010,0.4400949177409399,-0.051703877790834255,1,0.7,0.85
42,3/5/2021,8.21,8.21,6.92,7.6,5687531,-0.11670722673205974,-0.05824039653035943,0,0.0,0.0
43,3/8/2021,7.66,7.86,7.4,7.62,3419507,-0.39877127702688564,0.002631578947368482,0,0.0,0.0
44,3/9/2021,7.92,9.09,7.81,8.62,10526050,2.0782361316996867,0.13123359580052482,0,0.0,0.0
45,3/10/2021,8.78,9.75,8.47,9.2,11188820,0.06296473985968146,0.06728538283062646,2,0.0,0.0
46,3/11/2021,9.3,10.12,9.28,9.53,10123180,-0.09524149999731875,0.03586956521739131,0,0.0,0.0
47,3/12/2021,9.24,10.04,9.08,9.77,5943417,-0.41289031707427903,0.02518363064008397,0,0.0,0.0
48,3/15/2021,9.79,10.54,9.33,9.53,8734758,0.46965255845248616,-0.024564994882292756,0,0.0,0.0
49,3/16/2021,9.57,9.65,8.71,8.75,10662150,0.22065774461066923,-0.08184679958027276,1,0.0,0.0
50,3/17/2021,8.2,8.48,7.82,8.48,10438940,-0.02093480208025586,-0.03085714285714281,0,0.0,0.0
51,3/18/2021,8.36,8.59,8.0,8.04,4371292,-0.581251353106733,-0.05188679245283034,1,0.8,0.9
52,3/19/2021,8.05,8.4,7.91,8.32,3851340,-0.1189469840953201,0.034825870646766316,0,0.0,0.0
53,3/22/2021,8.38,8.44,8.1,8.24,3704043,-0.038245649566125035,-0.009615384615384623,0,0.0,0.0
54,3/23/2021,8.28,8.37,7.96,8.09,2688113,-0.2742759735780605,-0.018203883495145675,0,0.0,0.0
55,3/24/2021,8.2,8.34,7.64,7.65,4239611,0.5771699329604075,-0.0543881334981458,0,0.0,0.0
56,3/25/2021,7.5,8.3,7.46,8.1,5365732,0.26561894475696,0.05882352941176461,0,0.0,0.0
57,3/26/2021,8.2,8.44,8.02,8.31,3402725,-0.36584141734995335,0.025925925925926033,0,0.0,0.0
58,3/29/2021,8.19,8.3,7.91,7.96,2057719,-0.3952732001557575,-0.04211793020457286,0,0.0,0.0
59,3/30/2021,7.97,8.09,7.68,8.05,2276592,0.1063668071296421,0.011306532663316677,0,0.0,0.0
60,3/31/2021,8.09,8.18,7.79,7.87,2783498,0.22266001110431732,-0.022360248447205043,0,0.0,0.0
61,4/1/2021,8.0,8.5,7.87,8.29,4892491,0.757677210474015,0.05336721728081309,0,0.0,0.0
62,4/5/2021,8.36,8.59,8.16,8.34,2053237,-0.5803289162923345,0.006031363088057988,0,0.0,0.0
63,4/6/2021,8.41,8.58,8.27,8.31,1422914,-0.30698988962306833,-0.003597122302158197,0,0.0,0.0
64,4/7/2021,8.31,8.41,7.97,8.03,1883732,0.3238551310901432,-0.03369434416365838,0,0.0,0.0
65,4/8/2021,8.08,8.09,7.85,7.94,2133189,0.13242701191039916,-0.011207970112079574,0,0.0,0.0
66,4/9/2021,7.9,8.11,7.82,7.91,2589288,0.21381087189180142,-0.0037783375314861772,0,0.0,0.0
67,4/12/2021,7.93,8.0,7.2,7.25,6250826,1.4141099792684322,-0.08343868520859674,0,0.0,0.0
68,4/13/2021,7.28,7.37,7.04,7.29,2714884,-0.5656759602650914,0.00551724137931035,0,0.0,0.0
69,4/14/2021,7.29,7.78,7.29,7.36,3557081,0.31021472740640116,0.009602194787380012,0,0.0,0.0
70,4/15/2021,7.48,7.48,7.13,7.26,1986002,-0.4416764757395179,-0.013586956521739203,0,0.0,0.0
71,4/16/2021,7.2,7.47,7.1,7.42,2153419,0.08429850523816189,0.02203856749311297,0,0.0,0.0
72,4/19/2021,7.5,7.52,7.17,7.36,1857579,-0.13738153141585543,-0.008086253369272184,0,0.0,0.0
73,4/20/2021,7.29,7.4,7.01,7.11,2174495,0.17060701052283644,-0.033967391304347824,0,0.0,0.0
74,4/21/2021,7.0,7.41,6.88,7.36,2130765,-0.020110416441518605,0.035161744022503515,0,0.0,0.0
75,4/22/2021,7.44,7.57,7.2,7.21,2115263,-0.007275321304789594,-0.020380434782608745,0,0.0,0.0
76,4/23/2021,7.2,7.64,7.09,7.48,2262113,0.0694239912483696,0.03744798890429965,0,0.0,0.0
77,4/26/2021,7.54,7.95,7.43,7.84,4662369,1.0610681252439644,0.04812834224598923,0,0.0,0.0
78,4/27/2021,7.89,7.89,7.61,7.74,1658516,-0.6442761179992403,-0.012755102040816282,0,0.0,0.0
79,4/28/2021,7.71,7.96,7.56,7.82,1637938,-0.012407477528103438,0.010335917312661508,0,0.0,0.0
80,4/29/2021,7.9,7.94,7.41,7.53,2392510,0.460684104038126,-0.0370843989769821,0,0.0,0.0
81,4/30/2021,7.5,7.57,7.3,7.46,1330910,-0.44371810358159425,-0.009296148738379851,0,0.0,0.0
